date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:37	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2011%20Aug%202025%2011:06:37%20GMT	https://www.dajjaal.com/	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/index.html	(from )
14:06:37	147/147	---M-Z	200	added ('OK')	text/plain	etag:%22c3ec4a9df74cd51:0%22	https://www.dajjaal.com/robots.txt		(from )
14:06:38	152/152	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Aug%202025%2011:06:38%20GMT	https://www.dajjaal.com/liar	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar.0.delayed	(from https://www.dajjaal.com/)
14:06:39	59908/59908	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:38%20GMT	https://www.dajjaal.com/liar/	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/index.html	(from https://www.dajjaal.com/)
14:06:40	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%223f83669443ad81:0%22	https://www.dajjaal.com/liar/scripts/bootstrap.min.css	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/scripts/bootstrap.min.css	(from https://www.dajjaal.com/liar/)
14:06:40	59219/59219	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eb68c769443ad81:0%22	https://www.dajjaal.com/liar/scripts/bootstrap.min.js	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/scripts/bootstrap.min.js	(from https://www.dajjaal.com/liar/)
14:06:41	5464/5464	---M-Z	200	added ('OK')	text/css	etag:%22773abf8f665ce1:0%22	https://www.dajjaal.com/liar/style.css	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/style.css	(from https://www.dajjaal.com/liar/)
14:06:42	6620/6620	---M-Z	200	added ('OK')	text/css	etag:%228197356a443ad81:0%22	https://www.dajjaal.com/liar/scripts/custom.css	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/scripts/custom.css	(from https://www.dajjaal.com/liar/)
14:06:42	33153/33153	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:43%20GMT	https://www.dajjaal.com/liar/about.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/about.html	(from https://www.dajjaal.com/liar/)
14:06:43	32361/32361	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:43%20GMT	https://www.dajjaal.com/liar/contact.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/contact.html	(from https://www.dajjaal.com/liar/)
14:06:44	49122/49122	---M--	200	added ('OK')	image/gif	etag:%226b2ec631f765ce1:0%22	https://www.dajjaal.com/liar/images/banner.gif	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/images/banner.gif	(from https://www.dajjaal.com/liar/)
14:06:44	32093/32093	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:44%20GMT	https://www.dajjaal.com/liar/categories/dajjaal.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/categories/dajjaal.html	(from https://www.dajjaal.com/liar/)
14:06:45	29515/29515	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:45%20GMT	https://www.dajjaal.com/liar/categories/jesus-the-messiah.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/categories/jesus-the-messiah.html	(from https://www.dajjaal.com/liar/)
14:06:46	33175/33175	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:46%20GMT	https://www.dajjaal.com/liar/categories/satan-and-the-jinn.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/categories/satan-and-the-jinn.html	(from https://www.dajjaal.com/liar/)
14:06:47	46769/46769	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:46%20GMT	https://www.dajjaal.com/liar/categories/magic-and-occult.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/categories/magic-and-occult.html	(from https://www.dajjaal.com/liar/)
14:06:47	30725/30725	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:47%20GMT	https://www.dajjaal.com/liar/categories/articles.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/categories/articles.html	(from https://www.dajjaal.com/liar/)
14:06:48	28909/28909	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:48%20GMT	https://www.dajjaal.com/liar/reports.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/reports.html	(from https://www.dajjaal.com/liar/)
14:06:49	30043/30043	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:49%20GMT	https://www.dajjaal.com/liar/rss.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/rss.html	(from https://www.dajjaal.com/liar/)
14:06:50	195/195	---M--	500	error ('Error%20Executing%20Database%20Query.')	text/html	date:Mon,%2011%20Aug%202025%2011:06:49%20GMT	https://www.dajjaal.com/liar/tags.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/tags.f.delayed	(from https://www.dajjaal.com/liar/)
14:06:51	5027/5027	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:51%20GMT	https://www.dajjaal.com/liar/search.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/search.html	(from https://www.dajjaal.com/liar/)
14:06:51	5565/5565	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:51%20GMT	https://www.dajjaal.com/liar/signin.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/signin.html	(from https://www.dajjaal.com/liar/)
14:06:52	98949/98949	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:52%20GMT	https://www.dajjaal.com/liar/articles/feicu-prophet-solomon-the-devils-shayaateen-magic-the-angels-harut-and-marut-and-baabil-babylon.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/articles/feicu-prophet-solomon-the-devils-shayaateen-magic-the-angels-harut-and-marut-and-baabil-babylon.html	(from https://www.dajjaal.com/liar/)
14:06:53	39797/39797	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:53%20GMT	https://www.dajjaal.com/liar/authors/Abu.Iyaad.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/authors/Abu.Iyaad.html	(from https://www.dajjaal.com/liar/)
14:06:53	14799/14799	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:53%20GMT	https://www.dajjaal.com/liar/articles/lixgt-bayan-talbis-al-dajaaijlah-why-and-how-hijab-and-co-conspirators-slander-people-of-the-sunnah.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/articles/lixgt-bayan-talbis-al-dajaaijlah-why-and-how-hijab-and-co-conspirators-slander-people-of-the-sunnah.html	(from https://www.dajjaal.com/liar/)
14:06:54	55064/55064	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:54%20GMT	https://www.dajjaal.com/liar/articles/oykkt-shaykh-al-islam-ibn-taymiyyah-distinction-between-illusionary-tricks-involving-deception-and-those-involving-the-devils---part-2.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/articles/oykkt-shaykh-al-islam-ibn-taymiyyah-distinction-between-illusionary-tricks-involving-deception-and-those-involving-the-devils---part-2.html	(from https://www.dajjaal.com/liar/)
14:06:55	39013/39013	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:54%20GMT	https://www.dajjaal.com/liar/authors/Admin.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/authors/Admin.html	(from https://www.dajjaal.com/liar/)
14:06:56	58745/58745	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2011:06:56%20GMT	https://www.dajjaal.com/liar/articles/zktic-shaykh-al-islam-ibn-taymiyyah-distinction-between--illusionary-tricks-involving-deception-and-those-involving-the-devils.cfm	D:/Website%20Archives%20HTTTrack/dajjaal.com/www.dajjaal.com/liar/articles/zktic-shaykh-al-islam-ibn-taymiyyah-distinction-between--illusionary-tricks-involving-deception-and-those-involving-the-devils.html	(from https://www.dajjaal.com/liar/)
