date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:53	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2011%20Aug%202025%2012:11:53%20GMT	https://www.maturidis.com/	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/index.html	(from )
15:11:53	147/147	---M-Z	200	added ('OK')	text/plain	etag:%22c3ec4a9df74cd51:0%22	https://www.maturidis.com/robots.txt		(from )
15:11:54	158/158	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2011%20Aug%202025%2012:11:54%20GMT	https://www.maturidis.com/maturidi	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi.0.delayed	(from https://www.maturidis.com/)
15:11:55	27808/27808	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:54%20GMT	https://www.maturidis.com/maturidi/	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/index.html	(from https://www.maturidis.com/)
15:11:55	5464/5464	---M-Z	200	added ('OK')	text/css	etag:%224af236c4f665ce1:0%22	http://www.maturidis.com/maturidi/style.css	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/style.css	(from https://www.maturidis.com/maturidi/)
15:11:56	22254/22254	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:55%20GMT	http://www.maturidis.com/maturidi/about.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/about.html	(from https://www.maturidis.com/maturidi/)
15:11:56	25206/25206	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:55%20GMT	http://www.maturidis.com/maturidi/contact.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/contact.html	(from https://www.maturidis.com/maturidi/)
15:11:56	43/43	---M--	200	added ('OK')	image/gif	etag:%22c6649ed4f665ce1:0%22	http://www.maturidis.com/maturidi/images/spacer.gif	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/images/spacer.gif	(from https://www.maturidis.com/maturidi/)
15:11:57	27427/27427	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:57%20GMT	http://www.maturidis.com/maturidi/categories/articles.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/categories/articles.html	(from https://www.maturidis.com/maturidi/)
15:11:57	111147/111147	---M--	200	added ('OK')	image/gif	etag:%22254babd1f665ce1:0%22	http://www.maturidis.com/maturidi/images/banner.gif	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/images/banner.gif	(from https://www.maturidis.com/maturidi/)
15:11:57	21783/21783	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:58%20GMT	http://www.maturidis.com/maturidi/reports.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/reports.html	(from https://www.maturidis.com/maturidi/)
15:11:58	4162/4162	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:58%20GMT	http://www.maturidis.com/maturidi/signin.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/signin.html	(from https://www.maturidis.com/maturidi/)
15:11:58	3657/3657	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:58%20GMT	http://www.maturidis.com/maturidi/search.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/search.html	(from https://www.maturidis.com/maturidi/)
15:11:59	195/195	---M--	500	error ('Error%20Executing%20Database%20Query.')	text/html	date:Mon,%2011%20Aug%202025%2012:11:59%20GMT	http://www.maturidis.com/maturidi/tags.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/tags.a.delayed	(from https://www.maturidis.com/maturidi/)
15:11:59	22204/22204	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:59%20GMT	http://www.maturidis.com/maturidi/rss.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/rss.html	(from https://www.maturidis.com/maturidi/)
15:11:59	27986/27986	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:11:59%20GMT	http://www.maturidis.com/maturidi/articles/upeoa-mulla-ali-al-qari-d-1014-defends-ibn-taymiyyah-and-ibn-al-qayyim-from-the-slanders-of-the-oppressive-fanatics.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/articles/upeoa-mulla-ali-al-qari-d-1014-defends-ibn-taymiyyah-and-ibn-al-qayyim-from-the-slanders-of-the-oppressive-fanatics.html	(from https://www.maturidis.com/maturidi/)
15:12:00	23043/23043	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:12:00%20GMT	http://www.maturidis.com/maturidi/authors/Admin.cfm	D:/Website%20Archives%20HTTTrack/maturidis.com/www.maturidis.com/maturidi/authors/Admin.html	(from https://www.maturidis.com/maturidi/)
