date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:38	1035/1035	---MCZ	200	added ('OK')	text/plain	date:Fri,%2001%20Jul%202016%2000:16:06%20GMT	https://www.twelvershia.net/robots.txt		(from )
15:13:38	143065/143065	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Aug%202025%2012:13:38%20GMT	https://www.twelvershia.net/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/index.html	(from )
15:13:38	114706/114706	---MCZ	200	added ('OK')	text/css	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/css/dist/block-library/style.min.css?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/css/dist/block-library/style.minc628.css	(from https://www.twelvershia.net/)
15:13:39	1746/1746	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20May%202020%2011:14:17%20GMT	https://www.twelvershia.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.7	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/contact-form-7/includes/css/styles6725.css	(from https://www.twelvershia.net/)
15:13:39	736/736	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2001:31:05%20GMT	https://www.twelvershia.net/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/email-subscribers/public/css/email-subscribers-public.css	(from https://www.twelvershia.net/)
15:13:39	14212/14212	---MCZ	200	added ('OK')	text/css	date:Sun,%2024%20Mar%202019%2001:31:11%20GMT	https://www.twelvershia.net/wp-content/plugins/simple-download-monitor/css/sdm_wp_styles.css?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/simple-download-monitor/css/sdm_wp_stylesc628.css	(from https://www.twelvershia.net/)
15:13:39	254232/254232	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ee18b810b98c8753bd88b65822109f3c%22	https://www.twelvershia.net/feed/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/feed/index.html	(from https://www.twelvershia.net/)
15:13:39	9670/9670	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ee18b810b98c8753bd88b65822109f3c%22	https://www.twelvershia.net/comments/feed/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/comments/feed/index.html	(from https://www.twelvershia.net/)
15:13:39	86090/86090	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2011:28:14%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/style.css?ver=3.6.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/stylea7a0.css	(from https://www.twelvershia.net/)
15:13:39	29063/29063	---MCZ	200	added ('OK')	text/css	date:Wed,%2025%20Jan%202017%2019:00:45%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/includes/font-awesome.min.css	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/includes/font-awesome.min.css	(from https://www.twelvershia.net/)
15:13:40	5871/5871	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Mar%202019%2014:32:41%20GMT	https://www.twelvershia.net/wp-content/plugins/tablepress/css/default.min.css?ver=1.9.2	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/tablepress/css/default.min2c00.css	(from https://www.twelvershia.net/)
15:13:40	1463/1463	---MCZ	200	added ('OK')	text/css	date:Sat,%2002%20May%202020%2011:14:15%20GMT	https://www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.15	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min9be6.css	(from https://www.twelvershia.net/)
15:13:40	87553/87553	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.twelvershia.net/)
15:13:41	13577/13577	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2027%20Jan%202025%2018:20:10%20GMT	https://www.twelvershia.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.twelvershia.net/)
15:13:41	129/129	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2002%20May%202020%2011:14:15%20GMT	https://www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://www.twelvershia.net/)
15:13:42	3557/3557	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20Mar%202019%2001:31:05%20GMT	https://www.twelvershia.net/wp-content/plugins/email-subscribers/public/js/email-subscribers-public.js	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/email-subscribers/public/js/email-subscribers-public.js	(from https://www.twelvershia.net/)
15:13:42	3395/3395	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2024%20Mar%202019%2001:31:11%20GMT	https://www.twelvershia.net/wp-content/plugins/simple-download-monitor/js/sdm_wp_scripts.js?ver=4890e0524a32451c67c063ee8e5c44f9	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/plugins/simple-download-monitor/js/sdm_wp_scriptsc628.js	(from https://www.twelvershia.net/)
15:13:42	38842/38842	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2025%20Jan%202017%2019:00:45%20GMT	https://www.twelvershia.net/wp-content/themes/mh-magazine/js/scripts.js?ver=3.6.1	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/themes/mh-magazine/js/scriptsa7a0.js	(from https://www.twelvershia.net/)
15:13:43	2039/2039	---MCZ	200	added ('OK')	application/json	etag:W/%222538-1754822506;;;%22	https://www.twelvershia.net/wp-json/wp/v2/pages/3717	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-json/wp/v2/pages/3717.json	(from https://www.twelvershia.net/)
15:14:03	828/828	---MCZ	200	added ('OK')	text/xml	date:Mon,%2011%20Aug%202025%2012:14:03%20GMT	https://www.twelvershia.net/xmlrpc.php?rsd	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/xmlrpc0db0.php	(from https://www.twelvershia.net/)
15:14:03	195434/195434	---MCZ	200	added ('OK')	application/json	etag:W/%223857-1754914443;;;%22	https://www.twelvershia.net/wp-json/	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-json/index.html	(from https://www.twelvershia.net/)
15:14:03	2019/2019	---MCZ	200	added ('OK')	application/json	etag:W/%221917-1754640969;;;%22	https://www.twelvershia.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.twelvershia.net%2F	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-json/oembed/1.0/embed9b67.json	(from https://www.twelvershia.net/)
15:14:03	2164/2164	---MCZ	200	added ('OK')	text/xml	etag:W/%221918-1754640972;br%22	https://www.twelvershia.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.twelvershia.net%2F&format=xml	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-json/oembed/1.0/embed1174	(from https://www.twelvershia.net/)
15:14:04	3179/3179	---MCZ	200	added ('OK')	application/javascript	etag:W/%22060b0026b51016bf08c9d4b4a73b7960%22	https://static.addtoany.com/menu/page.js	D:/Website%20Archives%20HTTTrack/twelvershia.net/static.addtoany.com/menu/page.js	(from https://www.twelvershia.net/)
15:14:04	244791/244791	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Feb%202017%2004:16:21%20GMT	https://www.twelvershia.net/wp-content/uploads/2017/02/TSbg.jpg	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/uploads/2017/02/TSbg.jpg	(from https://www.twelvershia.net/)
15:14:04	1668/1668	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202017%2020:34:37%20GMT	https://www.twelvershia.net/wp-content/uploads/2017/02/cropped-twelvershia.net_favicon_0-32x32.png	D:/Website%20Archives%20HTTTrack/twelvershia.net/www.twelvershia.net/wp-content/uploads/2017/02/cropped-twelvershia.net_favicon_0-32x32.png	(from https://www.twelvershia.net/)
